Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11
2008-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
District/ Year,Sibi,Ziarat,Kohlu,Kachhi,Dera Bughti,Nasirabad,Jafferabad,Tomboo,Bolan,
1981-82,0.1,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,
1982-83,0.1,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,
1983-84,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,
1984-85,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,
1985-86,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,
1986-87,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,
1987-88,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,
1988-89,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
1989-90,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
1990-91,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,
1991-92,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,
1992-93,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,
1993-94,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
1994-95,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,
1995-96,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,
1996-97,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,
1997-98,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
1998-99,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
1999-00,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,
2000-01,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
2001-02,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
2002-03,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,
2003-04,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
2004-05,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
2005-06,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
2006-07,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
2007-08,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
2008-09,0.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,
"(Production in ""000""Tonnes)",,,,,,,,,,
1981-82,1.7,0.0,0.0,0.0,0.0,36.8,0.0,0.0,0.0,
1982-83,2.1,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,
1983-84,2.4,0.0,0.0,0.0,0.0,24.1,0.0,0.0,0.0,
1984-85,3.5,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,
1985-86,3.7,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,
1986-87,4.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,
1987-88,4.5,0.0,0.0,0.0,0.0,0.0,4.9,8.8,0.0,
1988-89,7.3,0.0,0.0,0.0,0.0,0.0,5.5,2.6,0.0,
1989-90,7.7,0.0,0.0,0.0,0.0,0.0,6.0,2.4,0.0,
1990-91,7.7,0.0,0.0,0.0,0.0,0.0,7.4,1.2,0.0,
1991-92,7.7,0.0,0.0,0.0,0.0,0.0,7.7,6.6,0.0,
1992-93,7.7,0.0,0.0,0.0,0.0,7.2,2.7,0.0,0.4,
1993-94,7.8,0.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,
1994-95,7.9,0.0,0.0,0.0,0.0,8.3,0.5,0.0,0.0,
1995-96,8.3,0.0,0.0,0.0,0.1,8.9,1.0,0.0,0.0,
1996-97,8.4,0.0,0.0,0.0,0.0,9.6,1.1,0.0,0.0,
1997-98,12.1,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,
1998-99,12.0,0.0,0.0,0.0,0.1,7.4,0.2,0.0,1.4,
1999-00,12.0,0.0,0.0,0.0,0.0,7.3,5.7,0.0,1.4,
2000-01,13.0,0.0,0.0,1.0,0.0,4.7,0.0,0.0,0.0,
2001-02,13.0,0.0,0.0,1.9,0.0,6.5,0.0,0.0,0.0,
2002-03,13.6,0.0,0.0,1.1,0.0,11.7,0.0,0.0,0.0,
2003-04,13.6,0.0,0.0,0.0,0.0,3.8,0.4,0.0,0.0,
2004-05,12.5,0.0,0.0,0.0,0.0,4.7,0.2,0.0,0.0,
2005-06,8.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,
2006-07,14.4,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,
2007-08,14.7,0.0,0.0,0.0,0.0,6.0,2.3,0.0,0.0,
2008-09,28.8,0.0,0.0,0.0,0.0,3.2,0.6,0.0,0.0,
District/ Year,Mastung,Khuzdar,Awaran,Kharan,Lasbela,Turbat,Panjgoor,Gwadar,Jhal Magsi,Kalat
1981-82,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0
1982-83,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0
1983-84,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1984-85,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1985-86,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1986-87,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1987-88,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1989-90,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1993-94,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
"(Production in ""000""Tonnes)",,,,,,,,,,
1981-82,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1982-83,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
1983-84,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
1984-85,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1985-86,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0
1986-87,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
1987-88,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0
1988-89,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0
1989-90,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0
1990-91,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0
1991-92,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0
1992-93,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.2,0.0
1993-94,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0
1994-95,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0
1995-96,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0
1996-97,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,0.0
1997-98,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
1998-99,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
1999-00,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
2000-01,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0
2001-02,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0
2002-03,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0
2003-04,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0
2006-07,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
2007-08,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0
Province/ Year,Punjab,Sindh,KPK,Balochistan,Pakistan,,,,,
1981-82,1573.1,637.9,2.8,0.3,2214.1,,,,,
1982-83,1612.7,647.0,2.7,0.5,2262.9,,,,,
1983-84,1562.5,655.5,2.5,0.2,2220.7,,,,,
1984-85,1567.7,671.1,2.4,0.4,2241.6,,,,,
1985-86,1745.8,615.4,2.3,0.6,2364.1,,,,,
1986-87,1864.0,638.3,2.2,0.7,2505.2,,,,,
1987-88,1935.6,629.6,2.1,0.5,2567.8,,,,,
1988-89,2053.8,564.0,1.4,0.2,2619.4,,,,,
1989-90,2035.9,561.3,1.1,0.2,2598.5,,,,,
1990-91,2124.6,536.6,0.8,0.2,2662.2,,,,,
1991-92,2286.9,547.6,0.8,0.2,2835.5,,,,,
1992-93,2437.8,397.4,0.5,0.2,2835.9,,,,,
1993-94,2249.2,554.9,0.2,0.3,2804.6,,,,,
1994-95,2244.4,405.6,0.3,2.5,2652.8,,,,,
1995-96,2463.3,529.3,0.2,4.5,2997.3,,,,,
1996-97,2540.2,601.2,0.3,6.9,3148.6,,,,,
1997-98,2348.4,600.3,0.5,10.5,2959.7,,,,,
1998-99,2282.8,630.2,0.4,9.4,2922.8,,,,,
1999-00,2329.3,633.5,0.3,20.0,2983.1,,,,,
2000-01,2386.2,523.6,0.2,17.3,2927.3,,,,,
2001-02,2526.4,547.4,1.6,40.4,3115.8,,,,,
2002-03,2208.3,542.6,1.9,40.8,2793.6,,,,,
2003-04,2386.8,561.4,2.0,39.1,2989.3,,,,,
2004-05,2518.3,635.1,2.1,37.1,3192.6,,,,,
2005-06,2426.0,637.1,2.1,37.8,3103.0,,,,,
2006-07,2462.9,570.1,0.2,41.6,3074.8,,,,,
2007-08,2424.8,607.4,0.2,21.9,3054.3,,,,,
2008-09,2223.7,561.5,0.2,34.6,2820.0,,,,,
District/ Year,Attock,Rawalpindi,Islamabad,Jhelum,C h akwal,Sargodha,Khushab,Mianwali,Bhakkar,
1981-82,0.0,0.0,0.0,1.2,0.0,42.9,2.8,15.3,19.5,
1982-83,0.0,0.0,0.0,1.2,0.0,41.7,4.0,16.2,20.3,
1983-84,0.0,0.0,0.0,1.2,0.0,32.4,3.6,13.8,18.6,
1984-85,0.0,0.0,0.0,0.8,0.4,27.9,2.8,13.8,17.8,
1985-86,0.0,0.0,0.0,0.4,0.4,31.7,2.8,13.3,19.8,
1986-87,0.0,0.0,0.0,0.4,0.4,29.6,2.0,12.1,17.4,
1987-88,0.0,0.0,0.0,0.4,0.4,26.7,1.2,12.2,16.6,
1988-89,0.0,0.0,0.0,0.4,0.4,25.6,2.0,9.7,8.5,
1989-90,0.0,0.0,0.0,0.4,0.4,23.5,1.2,7.7,8.9,
1990-91,0.0,0.0,0.0,0.4,0.4,21.8,0.8,6.1,7.7,
1991-92,0.0,0.0,0.0,0.4,0.4,21.9,1.2,6.5,9.3,
1992-93,0.0,0.0,0.0,0.4,0.4,21.0,1.2,4.1,8.1,
1993-94,0.0,0.0,0.0,0.4,0.4,16.1,0.8,2.8,4.5,
1994-95,0.0,0.0,0.0,0.4,0.4,16.2,0.8,1.6,3.6,
1995-96,0.0,0.0,0.0,0.4,0.4,18.2,0.4,1.6,4.1,
1996-97,0.0,0.0,0.0,0.4,0.4,17.4,0.8,4.0,5.7,
1997-98,0.0,0.0,0.0,0.4,0.4,6.9,1.2,4.8,6.5,
1998-99,0.0,0.0,0.0,0.4,0.4,7.3,0.4,4.9,5.3,
1999-00,0.0,0.0,0.0,0.4,0.4,8.5,0.8,5.6,6.8,
2000-01,0.0,0.0,0.0,0.4,0.0,9.3,0.4,4.4,5.3,
2001-02,0.0,0.0,0.0,0.4,0.4,9.3,0.4,4.1,4.1,
2002-03,0.0,0.0,0.0,0.4,0.0,6.9,0.4,3.2,2.4,
2003-04,0.0,0.0,0.0,0.4,0.0,6.9,0.4,2.8,2.0,
2004-05,0.0,0.0,0.0,0.4,0.4,8.1,0.4,4.1,2.8,
2005-06,0.0,0.0,0.0,0.4,0.4,8.1,0.4,6.9,3.2,
2006-07,0.0,0.0,0.0,0.4,0.4,8.9,0.4,8.1,4.9,
2007-08,0.0,0.0,0.0,0.4,0.4,7.3,0.4,8.9,4.8,
2008-09,0.0,0.0,0.0,0.4,0.0,6.9,0.4,13.4,8.1,
"(Production in ""000"" Bales)",,,,,,,,,,
1981-82,0.0,0.0,0.0,0.7,0.0,49.5,3.0,26.1,32.4,
1982-83,0.0,0.0,0.0,0.7,0.0,51.6,4.4,29.4,38.4,
1983-84,0.0,0.0,0.0,0.7,0.0,27.0,2.0,13.7,13.0,
1984-85,0.0,0.0,0.0,0.5,0.2,53.3,4.4,24.1,29.9,
1985-86,0.0,0.0,0.0,0.3,0.2,48.9,3.3,19.9,32.2,
1986-87,0.0,0.0,0.0,0.3,0.2,47.6,2.4,22.9,28.1,
1987-88,0.0,0.0,0.0,0.2,0.3,46.8,2.7,21.0,31.8,
1988-89,0.0,0.0,0.0,0.3,0.2,48.3,2.2,22.7,20.5,
1989-90,0.0,0.0,0.0,0.3,0.2,37.6,1.3,20.6,23.5,
1990-91,0.0,0.0,0.0,0.3,0.2,37.0,1.0,15.0,19.8,
1991-92,0.0,0.0,0.0,0.3,0.3,56.8,1.8,20.1,31.5,
1992-93,0.0,0.0,0.0,0.2,0.2,36.3,1.3,10.6,22.1,
1993-94,0.0,0.0,0.0,0.2,0.2,21.1,1.0,3.7,8.3,
1994-95,0.0,0.0,0.0,0.5,0.5,38.0,1.5,2.5,11.1,
1995-96,0.0,0.0,0.0,0.5,0.4,40.3,0.4,3.8,11.0,
1996-97,0.0,0.0,0.0,0.3,0.3,38.1,0.8,9.1,14.2,
1997-98,0.0,0.0,0.0,0.5,0.4,13.5,1.6,11.0,14.8,
1998-99,0.0,0.0,0.0,0.4,0.4,14.5,0.4,9.7,11.4,
1999-00,0.0,0.0,0.0,0.3,0.3,17.1,1.4,13.9,17.8,
2000-01,0.0,0.0,0.0,0.3,0.0,11.7,0.3,10.0,14.5,
2001-02,0.0,0.0,0.0,0.4,0.4,9.9,0.3,8.6,10.1,
2002-03,0.0,0.0,0.0,0.4,0.0,7.2,0.3,7.3,6.1,
2003-04,0.0,0.0,0.0,0.4,0.0,7.0,0.5,6.7,5.3,
2004-05,0.0,0.0,0.0,0.4,0.4,12.3,0.4,10.7,6.2,
2005-06,0.0,0.0,0.0,0.4,0.4,12.3,0.5,16.2,7.7,
2006-07,0.0,0.0,0.0,0.4,0.4,14.9,0.5,26.5,14.1,
2007-08,0.0,0.0,0.0,0.4,0.3,11.0,0.5,32.6,11.5,
2008-09,0.0,0.0,0.0,0.5,0.0,14.9,0.6,57.1,26.7,
District/ Year,Faisalabad,Toba T e k Singh,Jhang,Gujrat,M.B. Din,Sialkot,Narowal,Gujranwala,Hafizabad,
1981-82,34.9,36.0,88.2,5.7,0.0,6.5,0.0,4.8,0.0,
1982-83,31.9,34.4,91.9,6.1,0.0,6.5,0.0,4.8,0.0,
1983-84,23.9,31.2,80.5,5.3,0.0,3.6,0.0,3.2,0.0,
1984-85,20.6,32.0,78.5,4.1,0.0,2.8,0.0,2.4,0.0,
1985-86,34.8,41.3,91.5,4.9,0.0,2.4,0.0,2.4,0.0,
1986-87,41.3,46.1,91.5,4.9,0.0,1.6,0.0,1.6,0.0,
1987-88,42.9,49.0,87.4,4.5,0.0,1.2,0.0,1.6,0.0,
1988-89,44.5,51.4,88.2,4.1,0.0,1.2,0.0,1.6,0.0,
1989-90,47.8,48.9,83.0,4.1,0.0,0.4,0.0,0.8,0.0,
1990-91,47.8,49.4,82.5,2.9,0.0,0.4,0.0,0.8,0.0,
1991-92,61.1,58.3,91.1,3.2,0.0,0.4,0.0,0.8,0.0,
1992-93,68.8,66.8,96.7,3.3,0.0,0.0,0.0,0.8,0.0,
1993-94,42.1,38.9,73.2,0.0,2.8,0.0,0.0,0.4,0.4,
1994-95,32.8,35.2,64.3,0.0,2.8,0.0,0.0,0.4,0.0,
1995-96,48.9,47.0,76.9,0.0,2.8,0.0,0.0,0.4,0.4,
1996-97,55.8,50.2,83.4,0.0,3.3,0.0,0.0,0.4,0.4,
1997-98,47.8,47.3,68.4,0.0,2.8,0.0,0.0,0.4,0.0,
1998-99,33.6,36.8,51.0,0.0,2.4,0.0,0.0,0.0,0.0,
1999-00,38.1,41.7,63.5,0.0,2.0,0.0,0.0,0.0,0.0,
2000-01,43.7,44.9,60.7,0.0,2.4,0.0,0.0,0.0,0.0,
2001-02,42.5,47.8,62.3,0.0,2.4,0.0,0.0,0.0,0.0,
2002-03,32.4,37.2,45.3,0.0,2.4,0.0,0.0,0.0,0.0,
2003-04,36.0,38.8,48.6,0.0,2.4,0.0,0.0,0.0,0.0,
2004-05,49.8,58.3,66.3,0.0,2.0,0.0,0.0,0.0,0.0,
2005-06,40.5,43.3,51.4,0.0,2.0,0.0,0.0,0.0,0.0,
2006-07,40.5,43.3,51.8,0.0,2.1,0.0,0.0,0.0,0.0,
2007-08,37.6,38.8,53.0,0.0,2.0,0.0,0.0,0.0,0.0,
2008-09,39.3,43.3,55.4,0.0,2.0,0.0,0.0,0.0,0.0,
"(Production in ""000"" Bales)",,,,,,,,,,
1981-82,33.3,39.9,133.7,5.0,0.0,4.2,0.0,4.7,0.0,
1982-83,42.0,56.7,161.3,6.4,0.0,4.2,0.0,4.0,0.0,
1983-84,21.0,28.7,64.3,4.3,0.0,2.3,0.0,2.8,0.0,
1984-85,34.8,84.8,166.7,4.0,0.0,1.8,0.0,2.5,0.0,
1985-86,82.4,145.2,238.8,4.8,0.0,1.5,0.0,2.3,0.0,
1986-87,73.3,157.4,214.2,4.3,0.0,1.0,0.0,1.9,0.0,
1987-88,82.9,196.4,211.4,3.9,0.0,0.8,0.0,1.6,0.0,
1988-89,120.5,166.8,256.4,3.5,0.0,0.6,0.0,2.0,0.0,
1989-90,128.8,158.0,245.3,4.1,0.0,0.3,0.0,1.1,0.0,
1990-91,132.3,181.6,267.3,2.9,0.0,0.3,0.0,1.1,0.0,
1991-92,236.6,266.6,419.7,4.1,0.0,0.4,0.0,1.2,0.0,
1992-93,176.2,202.8,253.1,3.3,0.0,0.0,0.0,1.1,0.0,
1993-94,25.1,39.0,78.0,0.0,2.8,0.0,0.0,0.3,0.5,
1994-95,60.6,103.4,130.6,0.0,3.0,0.0,0.0,0.3,0.0,
1995-96,113.6,138.9,199.2,0.0,2.6,0.0,0.0,0.3,0.7,
1996-97,94.3,98.0,152.7,0.0,3.0,0.0,0.0,0.4,0.6,
1997-98,93.2,101.2,113.6,0.0,3.2,0.0,0.0,0.4,0.0,
1998-99,69.8,86.0,101.4,0.0,3.1,0.0,0.0,0.0,0.0,
1999-00,112.5,129.9,150.3,0.0,2.9,0.0,0.0,0.0,0.0,
2000-01,100.0,116.6,141.8,0.0,2.3,0.0,0.0,0.0,0.0,
2001-02,72.1,93.9,106.9,0.0,2.4,0.0,0.0,0.0,0.0,
2002-03,66.7,95.4,113.0,0.0,2.3,0.0,0.0,0.0,0.0,
2003-04,73.2,90.5,103.2,0.0,3.0,0.0,0.0,0.0,0.0,
2004-05,136.6,159.8,168.2,0.0,2.9,0.0,0.0,0.0,0.0,
2005-06,120.6,124.9,127.4,0.0,3.2,0.0,0.0,0.0,0.0,
2006-07,115.4,132.3,150.1,0.0,3.2,0.0,0.0,0.0,0.0,
2007-08,106.5,103.7,159.7,0.0,3.2,0.0,0.0,0.0,0.0,
2008-09,144.7,165.2,206.5,0.0,3.1,0.0,0.0,0.0,0.0,
District/ Year,Sheikhu pura,Nankana Sahib,Lahore,Kasur,Okara,Sahiwal,Pakpattan,Multan,Lodhran,
1981-82,4.8,0.0,1.6,24.3,56.3,150.9,0.0,330.6,0.0,
1982-83,4.1,0.0,1.6,19.8,36.8,140.8,0.0,346.0,0.0,
1983-84,2.8,0.0,0.8,13.8,32.4,125.8,0.0,350.9,0.0,
1984-85,1.7,0.0,0.8,8.9,34.4,128.8,0.0,235.1,0.0,
1985-86,2.4,0.0,0.8,12.9,54.3,168.7,0.0,250.5,0.0,
1986-87,2.8,0.0,0.4,13.4,57.4,182.9,0.0,276.4,0.0,
1987-88,2.8,0.0,0.4,15.4,57.1,193.0,0.0,302.7,0.0,
1988-89,3.6,0.0,0.4,19.4,56.3,195.9,0.0,328.2,0.0,
1989-90,2.8,0.0,0.4,18.2,48.2,187.4,0.0,323.7,0.0,
1990-91,2.4,0.0,0.0,17.0,63.1,197.1,0.0,337.9,0.0,
1991-92,2.8,0.0,0.4,17.4,76.1,162.3,59.9,170.0,177.6,
1992-93,3.2,0.0,0.4,22.3,95.9,181.3,65.1,165.5,181.3,
1993-94,2.0,0.0,0.0,21.5,86.2,89.8,114.9,159.9,182.9,
1994-95,2.0,0.0,0.0,21.1,70.4,127.1,39.7,169.6,184.9,
1995-96,2.8,0.0,0.4,25.1,86.6,96.3,115.7,161.9,194.7,
1996-97,2.8,0.0,0.4,25.5,82.6,102.0,117.3,171.6,189.8,
1997-98,2.4,0.0,0.0,13.8,49.0,90.2,93.5,145.3,192.2,
1998-99,0.8,0.0,0.0,8.9,18.6,78.5,56.7,158.6,194.6,
1999-00,0.8,0.0,0.0,9.3,22.7,75.3,39.7,160.3,201.1,
2000-01,0.8,0.0,0.0,8.9,16.2,80.1,51.8,171.6,195.5,
2001-02,0.8,0.0,0.0,9.3,28.3,91.5,86.2,176.0,199.5,
2002-03,0.4,0.0,0.0,8.1,8.9,76.5,30.4,166.7,191.8,
2003-04,0.4,0.0,0.0,8.9,8.1,84.2,33.6,189.0,204.4,
2004-05,0.4,0.0,0.0,11.7,12.1,91.0,44.5,193.8,206.8,
2005-06,0.0,0.4,0.0,10.9,8.9,83.0,30.3,193.0,208.8,
2006-07,0.0,0.4,0.0,10.5,14.6,86.2,46.5,190.2,210.0,
2007-08,0.0,0.4,0.0,11.0,26.3,81.7,57.1,189.0,209.2,
2008-09,0.0,0.0,0.0,13.0,25.1,71.2,46.1,167.1,197.5,
"(Production in ""000"" Bales)",,,,,,,,,,
1981-82,4.1,0.0,1.5,25.6,67.1,184.5,0.0,687.6,0.0,
1982-83,2.7,0.0,1.3,22.5,43.0,201.4,0.0,831.6,0.0,
1983-84,1.1,0.0,0.5,12.1,24.3,89.7,0.0,437.0,0.0,
1984-85,1.3,0.0,0.7,11.4,61.6,308.3,0.0,910.6,0.0,
1985-86,1.7,0.0,0.5,18.3,190.4,583.6,0.0,1130.6,0.0,
1986-87,3.3,0.0,0.4,18.9,193.7,637.6,0.0,1357.2,0.0,
1987-88,4.0,0.0,0.3,30.6,269.3,636.6,0.0,1429.3,0.0,
1988-89,3.1,0.0,0.3,38.4,179.1,622.3,0.0,1325.2,0.0,
1989-90,3.0,0.0,0.3,38.8,170.3,645.1,0.0,1403.2,0.0,
1990-91,2.8,0.0,0.0,36.4,230.8,710.6,0.0,1649.1,0.0,
1991-92,4.5,0.0,0.4,50.8,380.8,827.2,309.1,924.8,971.3,
1992-93,5.1,0.0,0.3,48.4,341.0,533.1,213.2,534.3,632.9,
1993-94,3.1,0.0,0.0,47.3,186.2,92.6,147.6,510.4,652.4,
1994-95,3.5,0.0,0.0,58.2,167.6,387.3,76.7,563.0,585.3,
1995-96,5.6,0.0,0.5,64.6,277.1,315.5,387.8,628.9,744.2,
1996-97,3.6,0.0,0.4,50.8,191.2,250.1,232.8,333.4,463.6,
1997-98,5.3,0.0,0.0,27.0,118.9,182.2,190.0,330.7,554.5,
1998-99,1.5,0.0,0.0,20.6,43.7,156.1,140.3,394.3,492.6,
1999-00,1.2,0.0,0.0,23.9,59.9,271.2,119.0,664.4,894.8,
2000-01,0.9,0.0,0.0,12.5,36.1,219.9,139.6,618.2,714.1,
2001-02,0.8,0.0,0.0,10.2,43.8,170.7,130.1,582.4,722.5,
2002-03,0.3,0.0,0.0,8.7,17.5,173.6,58.8,600.1,799.3,
2003-04,0.3,0.0,0.0,12.8,14.6,167.4,63.0,622.9,831.2,
2004-05,0.3,0.0,0.0,20.0,26.0,241.5,119.8,858.6,1077.6,
2005-06,0.0,0.4,0.0,20.2,19.6,240.8,98.5,888.7,1079.4,
2006-07,0.0,0.6,0.0,20.6,41.5,260.4,181.5,829.8,974.9,
2007-08,0.0,0.5,0.0,20.6,78.8,229.6,215.1,760.0,865.2,
2008-09,0.0,0.0,0.0,32.8,85.3,309.9,212.5,670.8,635.6,
District/ Year,Khanewal,Vehari,M. Garh,Layyah,D.G. Khan,Rajanpur,Bahawal pur,Rahimyar Khan,Bahawal nagar,
1981-82,0.0,156.2,68.8,18.7,25.5,43.7,110.9,210.9,112.1,
1982-83,0.0,159.9,74.4,20.7,27.9,59.1,125.5,225.0,112.1,
1983-84,0.0,154.2,75.3,20.6,29.1,65.2,138.4,231.5,104.4,
1984-85,132.7,167.5,78.9,19.4,25.5,59.9,140.8,229.8,99.6,
1985-86,144.5,189.4,86.6,19.4,29.1,51.4,143.7,214.1,132.3,
1986-87,150.2,200.7,92.7,20.7,30.7,59.5,160.7,227.0,139.6,
1987-88,156.6,218.5,100.8,22.7,29.5,47.3,172.8,235.5,136.4,
1988-89,172.0,230.6,114.9,17.0,34.0,58.3,188.3,247.2,150.1,
1989-90,164.7,229.8,123.0,16.2,39.3,63.1,184.9,255.8,151.3,
1990-91,166.3,237.1,134.8,16.6,41.7,63.1,202.8,260.6,163.1,
1991-92,172.0,244.0,145.3,22.3,48.2,72.4,216.1,270.7,174.8,
1992-93,179.3,248.1,142.8,21.8,55.5,85.8,235.9,287.3,194.7,
